कंप्यूटरगेम	कंप्यूटर+गेम
जहाज़ोंनिरीक्षण	जहाज़ों+निरीक्षण
गतिविधिहाल	गतिविधि+हाल
कारणबीमा	कारण+बीमा
हमलादोपहर	हमला+दोपहर
चुनौतीबिजली	चुनौती+बिजली
ओरसीढ़ियाँ	ओर+सीढ़ियाँ
टेलीकॉमघोटाले	टेलीकॉम+घोटाले
ओरभ्रमण	ओर+भ्रमण
पूर्वसीमा	पूर्व+सीमा
औसतगति	औसत+गति
दृश्यनागालैंड	दृश्य+नागालैंड
शामभारत	शाम+भारत
टीलेप्रकृति	टीले+प्रकृति
बंदरगाहजलमार्ग	बंदरगाह+जलमार्ग
एकप्रस्ताव	एक+प्रस्ताव
शुक्रवाररात	शुक्रवार+रात
संयुक्त_राष्ट्रदिवस	संयुक्त_राष्ट्र+दिवस
दिसंबरमहीने	दिसंबर+महीने
तालिबाननेता	तालिबान+नेता
अनुयायीमन्दिर	अनुयायी+मन्दिर
मैदानजनता	मैदान+जनता
झेलमनदी	झेलम+नदी
बच्चाविवाह	बच्चा+विवाह
बारपरोसे	बार+परोसे
विश्व_कपशुरू	विश्व_कप+शुरू
कारणछाजन	कारण+छाजन
शाकाहारीनहीं	शाकाहारी+नहीं
महीनेमार्च	महीने+मार्च
मौसमपरिवर्तन	मौसम+परिवर्तन
संग्रहालयकोचीन	संग्रहालय+कोचीन
प्रयोगशालादेश	प्रयोगशाला+देश
पर्यटकमैसूर	पर्यटक+मैसूर
जनसंख्यामध्य	जनसंख्या+मध्य
चरमपंथीएक	चरमपंथी+एक
पाचनसमस्याएँ	पाचन+समस्याएँ
मामलेनागरिक	मामले+नागरिक
तकनीकइस्तेमाल	तकनीक+इस्तेमाल
कमीनहीं	कमी+नहीं
प्रतीकचिन्ह	प्रतीक+चिन्ह
प्लाविकाप्लाज़्मा	प्लाविका+प्लाज़्मा
बारमच्छर	बार+मच्छर
शर्तबातचीत	शर्त+बातचीत
क़ीमतबंगाल	क़ीमत+बंगाल
वृत्तआरंभ	वृत्त+आरंभ
दूधबच्चों	दूध+बच्चों
अश्वेतलोग	अश्वेत+लोग
होटलव्यवस्थाओं	होटल+व्यवस्थाओं
